"No","itemId","nameJP","nameTrans","itemName","itemType","itemSubtype","buttonType","dataType","required","format","minLength","maxLength","defaultValue","validationNote","description","userAction","transitionNote","databaseTable","databaseColumn","databaseNote","qa","spec_progress"
"1","I362:5041;186:1597","","","mms_1_Button","","","","","","","","","","","","","","","","","","draft"
"3","I1210:12622;2167:5140","","","mms_3_Keyvisual","","","","","","","","","","","","","","","","","","draft"
"7.4","I435:3154;1161:9487","","","mms_7.4_Button-IC","","","","","","","","","","","","","","","","","","draft"
"A","362:5052","THông tin chủ nhân","Myself Profile","mms_A_Info","others","region","","","false","","","","","","","","","","","Lấy thông tin của user đang đăng nhập  Bộ sưu tập icon của tôi tuân theo icon mở được trong Secret box  Nếu chưa có icon nào thì để icon xám","","completed"
"A.1","362:5053","","","mms_A.1_Avatar","","","","","","","","","","","","","","","","","","draft"
"A.2","362:5054","","","mms_A.2_Name","","","","","","","","","","","","","","","","","","draft"
"A.3","362:5064","","","mms_A.3_Huy Hiệu","","","","","","","","","","","","","","","","","","draft"
"B","362:5073","","","mms_B_Thống kê","","","","","","","","","","","","","","","","","","draft"
"B.1","362:5076","","","mms_B.1_Số kudos bạn nhận được","","","","","","","","","","","","","","","","","","draft"
"B2","362:5066","","","mms_B2_Huy hiệu","","","","","","","","","","","","","","","","","","draft"
"B.2","362:5077","","","mms_B.2_Số kudos bạn đã gửi","","","","","","","","","","","","","","","","","","draft"
"B2.1","I362:5066;3053:10046","","","mms_B2.1_Ảnh Huy hiệu","","","","","","","","","","","","","","","","","","draft"
"B3","362:5067","","","mms_B3_Huy hiệu","","","","","","","","","","","","","","","","","","draft"
"B.3","362:5078","","","mms_B.3_Số tim bạn nhận được","","","","","","","","","","","","","","","","","","draft"
"B4","362:5068","","","mms_B4_Huy hiệu","","","","","","","","","","","","","","","","","","draft"
"B.4","362:5080","","","mms_B.4_Số box đã mở","","","","","","","","","","","","","","","","","","draft"
"B5","362:5069","","","mms_B5_Huy hiệu","","","","","","","","","","","","","","","","","","draft"
"B.5","362:5081","","","mms_B.5_Số box chưa mở","","","","","","","","","","","","","","","","","","draft"
"B6","362:5070","","","mms_B6_Huy hiệu","","","","","","","","","","","","","","","","","","draft"
"B.6","362:5082","","","mms_B.6_Button mở quà","","","","","","","","","","","","","","","","","","draft"
"B7","362:5071","","","mms_B7_Huy hiệu","","","","","","","","","","","","","","","","","","draft"
"C","362:5084","","","mms_C_Header Giải thưởng","","","","","","","","","","","","","","","","","","draft"
"C.1","362:5085","","","mms_C.1_title","","","","","","","","","","","","","","","","","","draft"
"C.2","362:5088","","","mms_C.2_KUDOS title","","","","","","","","","","","","","","","","","","draft"
"C.3","362:5089","","","mms_C.3_Button","","","","","","","","","","","","","","","","","","draft"
"D","362:5091","","","mms_D_Post all","","","","","","","","","","","","","","","","","","draft"
"D.3.1","I3127:24455;3127:24095","","","mms_D.3.1_Status","","","","","","","","","","","","","","","","","","draft"
"D.3.1","I3127:24169;3127:24095","","","mms_D.3.1_Status","","","","","","","","","","","","","","","","","","draft"
